,0
0,6.828891
1,7.0130405
2,6.825399
3,7.0130405
4,6.7165956
5,7.3865104
6,7.2512546
7,7.5052543
8,6.857124
9,7.383922
10,7.133237
11,7.2896953
12,6.982929
13,7.2796764
14,7.7952766
15,7.7952766
16,6.826177
17,6.9728603
18,7.539118
19,6.3006024
20,6.9221377
21,6.74628
22,6.2532716
23,6.643416
24,5.9569283
25,6.3594255
26,7.3312697
27,7.408705
28,7.422284
29,6.031367
30,5.078166
31,4.9648213
32,4.9081197
33,5.0319867
34,4.9493465
35,5.9768043
36,5.9768043
37,6.6874266
38,6.335117
39,6.588713
40,6.6799555
41,6.6799555
42,6.335117
43,6.335117
44,6.6799555
45,7.2048864
46,7.3727136
47,7.416424
48,7.416424
49,8.0058365
