('SHsOH', 0.02847621509296376)
('SsOH', 0.025372470835657388)
('LipoaffinityIndex', 0.022361145084867216)
('C2SP2', 0.021687159037450415)
('BCUTc-1l', 0.0193200367819308)
('apol', 0.01728901877414423)
('minsOH', 0.017144685673856)
('maxHsOH', 0.01650319093755724)
('MDEC-23', 0.016490710177431978)
('maxsssN', 0.016266969671538768)
('SwHBa', 0.01610885367177423)
('MLFER_A', 0.014345975563824023)
('ATSp4', 0.01354267614038368)
('SP-5', 0.012552042633437193)
('nHsOH', 0.01230599067404775)
('maxsOH', 0.01213392436903451)
('nC', 0.012041220661063263)
('nHBAcc', 0.01159695021752462)
('nAtom', 0.011483113323153249)
('minHsOH', 0.011343368731936303)
